#{"t_start": 1771773700.512724, "env_id": "None"}
r,l,t
-90.954828,123,21.548665
169.659895,63,34.30887
-134.072084,51,43.545777
132.490563,32,49.560194
-142.473475,24,54.112657
135.13804,43,62.72553
-132.571205,197,98.817311
143.718264,50,108.462979
-138.253552,88,124.3435
156.225533,53,135.178232
137.551034,46,142.711107
135.353756,32,148.408315
147.463267,52,158.32095
-172.399425,16,160.388961
-134.550173,53,179.391679
137.491355,48,188.304688
133.837282,37,195.115841
161.898879,59,207.080499
153.191349,55,217.278015
167.250597,118,241.029874
141.052526,91,256.703657
145.038328,39,264.239501
-149.067074,40,272.922855
-130.849939,94,288.006379
-132.979158,34,296.71263
-140.195971,123,317.923462
-171.042019,33,324.639478
-163.719955,17,327.099607
136.179081,34,334.413075
-140.626052,66,345.550127
-136.663448,80,358.647282
138.841047,50,368.129804
146.693313,41,376.361333
139.560856,43,384.331619
132.81674,67,396.875137
-148.245048,47,416.405832
158.129416,58,428.562585
158.575478,53,437.556187
-130.36643,41,446.430393
-118.540829,117,465.059994
-99.856309,125,493.155057
150.558985,105,516.152916
-121.605398,38,526.43961
171.685355,68,540.688934
-100.717716,119,560.454856
-133.289992,32,566.653558
-130.882007,41,577.717545
141.037925,66,590.021737
-149.672268,34,599.060908
-139.964686,103,615.112309
-138.90308,21,619.177997
162.053106,78,642.167231
149.059685,43,649.484372
139.993777,73,663.731535
138.836238,37,671.162503
137.396814,45,679.943287
125.962198,47,688.781664
-145.523097,25,694.666573
-127.934229,58,709.473709
-142.355801,24,713.654635
157.173747,63,730.478048
181.767193,229,772.75733
-136.604857,43,779.96474
140.368938,36,786.966174
137.098752,49,795.921893
-136.457961,117,813.717747
-149.523838,41,821.190495
-133.275782,44,835.345537
138.797074,37,843.122004
-106.899305,86,857.508691
133.536341,33,863.351274
133.544482,53,873.14489
149.47546,51,883.041894
-169.48266,19,888.487349
134.675085,34,894.652185
-94.538742,52,904.721729
134.886764,38,911.896628
-123.899174,135,936.248104
-139.653286,65,951.135746
153.016857,46,960.609485
139.808041,46,969.140857
-121.412391,64,980.680601
-122.132563,52,993.390055
-138.773806,52,1004.547757
-123.442099,59,1023.108204
-146.662289,87,1038.148879
146.554747,45,1046.256222
153.382552,47,1055.95698
-139.049673,35,1062.06841
140.106325,40,1070.022597
-159.436083,47,1079.582909
-132.589827,43,1090.013195
-119.783744,52,1099.060437
-123.073202,31,1105.422151
-163.572532,83,1128.162516
-155.132171,87,1140.372413
-135.834649,68,1158.514053
-153.435795,60,1190.050532
-130.405637,52,1199.046534
-139.792975,21,1202.851188
135.14936,33,1209.761723
-165.859582,15,1212.096751
136.632686,42,1222.36514
167.804107,73,1237.676783
161.052515,108,1258.865209
149.129904,62,1270.511132
-134.420287,31,1278.273211
184.734609,99,1300.436071
176.237998,66,1311.001847
-145.835028,24,1319.431683
137.193484,40,1327.278594
-123.266224,54,1347.352798
-142.642911,19,1350.805604
133.326426,31,1356.622253
-157.706303,29,1361.676474
137.261032,40,1369.407502
130.094829,33,1375.436574
139.649584,57,1387.372372
141.604811,42,1396.086992
-107.800209,103,1413.542183
-143.661996,68,1430.7196
156.740837,85,1449.538796
157.088232,50,1456.386287
-124.492479,134,1469.616314
130.292855,59,1475.481614
140.306446,36,1479.744559
148.869532,54,1486.003138
-146.059209,149,1499.290342
-169.777086,16,1500.531605
-116.894138,62,1507.518942
-144.238215,26,1510.057307
147.397836,44,1515.671128
-120.790513,76,1525.022777
168.957053,75,1534.030614
179.2576,66,1542.011927
