#{"t_start": 1771738114.2878625, "env_id": "None"}
r,l,t
-157.774397,47,2.894715
-149.29245,30,4.854534
-138.756195,49,9.289031
-173.497424,32,13.78512
-161.787692,43,20.506895
-169.97933,54,29.183864
-142.01484,62,39.977536
-184.554213,38,47.095073
-157.350612,37,52.319617
-106.45772,49,60.886353
-139.128756,81,73.044312
-155.61227,67,84.08121
-115.828208,104,101.490655
-174.311601,18,104.017353
-161.268586,97,120.689245
-156.228397,20,124.371125
-165.805343,47,131.672704
-157.135038,48,141.061247
-140.811457,41,147.905184
-141.117334,34,153.33809
-171.847892,38,159.565935
-129.925914,42,166.740427
-156.569064,42,176.544091
-121.428306,120,199.069907
-161.726982,38,205.592363
-176.34335,67,216.084601
-142.652551,39,222.763454
-173.274295,75,234.129041
-147.750904,98,251.881744
-160.768786,53,260.544361
-171.924692,111,279.845098
-138.326027,74,291.558027
-118.895583,66,304.483766
-169.585061,56,313.514556
-159.884917,119,334.578377
-129.577869,109,352.905634
-121.48393,131,373.31172
-153.675322,40,378.643921
-166.598016,56,386.790764
-141.566175,30,390.371062
136.737541,63,401.352385
-157.031074,30,405.781477
-135.298438,48,415.384327
-154.941625,44,422.39887
-174.277683,150,443.579231
-149.624459,30,448.907484
-161.415871,26,453.392364
-159.847138,35,457.990468
-168.642726,16,461.018189
-160.995519,41,466.719646
-147.832328,61,476.254981
-148.930964,33,483.300588
-136.541732,88,494.428175
-164.412491,105,512.446964
-165.383266,92,526.272305
-160.260249,57,535.117327
-168.105401,47,542.622456
-159.546699,70,552.087859
-139.66885,53,559.012245
-161.231222,302,605.371661
-141.852211,153,630.006472
-173.249659,392,697.377301
-191.905096,82,709.875761
-153.225077,99,726.53954
-144.149233,100,744.360982
-179.340846,297,790.123058
-130.215143,125,808.578421
-168.636903,57,819.938349
-122.930709,67,831.538153
-136.381635,65,841.648135
-155.208831,36,846.547188
-131.886529,82,859.45781
-162.155598,50,867.410697
-163.922005,19,870.513528
-140.505804,34,876.278964
-151.071517,118,894.183925
-171.532317,273,934.969417
-183.752857,157,961.270011
-153.866493,343,1018.266222
-121.812644,50,1027.989146
-161.810876,281,1082.111611
-152.374569,425,1155.48415
-162.137924,264,1190.853969
-148.341235,32,1197.656163
-161.032011,196,1228.67156
-156.488405,111,1245.866753
-137.616754,112,1264.186589
-140.658079,82,1278.854753
-186.600248,71,1289.795246
-173.100417,49,1296.683103
-163.331085,64,1310.17313
-146.47735,162,1338.198044
-169.698396,116,1354.842277
-162.996391,106,1372.886797
-163.250051,291,1423.979718
-149.151031,163,1449.172967
-131.802129,121,1470.1912
-153.445274,120,1492.189391
